name,rede,cnpj,pais,estado,cidade,endereço,cep
Loja ,Savegnago,,Brasil,SP,Campinas ,"Av. Almeida Garret, 1073 - Parque Taquaral ",13087-291
Loja ,Savegnago,,Brasil,SP,Matriz Sertãozinho,"Av. N. S. Aparecida, 2021, São João / CEP ",14170-150
Loja ,Savegnago,,Brasil,SP,Sertãozinho,"Av. Antônio Paschoal, 912, Jd. Brasília / CEP ",14170-000
Loja ,Savegnago,,Brasil,SP,Sertãozinho,"Rua Julio Miranda Taveira, 984",14164-174
Loja ,Savegnago,,Brasil,SP,Sertãozinho,"Rua Washington Luiz, 2549",04662-002
Loja ,Savegnago,,Brasil,SP,Sertãozinho,"Av. J. Ferreira Fontes, 507",14177-220
Loja ,Savegnago,,Brasil,SP,Riberão Preto,"Av. Monteiro Lobato, 1335",14030-510
Loja ,Savegnago,,Brasil,SP,Jardinópolis,"Av. Monteiro Lobato, 1335",
Loja ,Savegnago,,Brasil,SP,Riberão Preto,"Av. Pio XII, 589",14030-250
Loja ,Savegnago,,Brasil,SP,Riberão Preto,"Rua Javari, 4819",14055-120 
Loja ,Savegnago,,Brasil,SP,Riberão Preto,"Rua Silveira Martins, 44",14080-625
Loja ,Savegnago,,Brasil,SP,Franca,"Rua Saldanha Marinho, 2151",14400-410
Loja ,Savegnago,,Brasil,SP,Franca,"Av. José da Silva, 3913",14405-391
Loja ,Savegnago,,Brasil,SP,Riberão Preto,"Av. Cel. Quito Junqueira, 622",14085-610
Loja ,Savegnago,,Brasil,SP,Franca,"Av. Brasil, 1281",14401-234
Loja ,Savegnago,,Brasil,SP,Barretos,"Av. 43, 99",14780-733
Loja ,Savegnago,,Brasil,SP,Riberão Preto,"Rua Sérigio Achê, 1011",14056-440
Loja ,Savegnago,,Brasil,SP,Riberão Preto,"Rua Henrique Dumont, 745",14090-200
Loja ,Savegnago,,Brasil,SP,Bebedouro,"Av. Quito Stamato, 555",14700-500
Loja ,Savegnago,,Brasil,SP,Barretos,Av. Engº Necker C. De Camargo. 2303,14783-080
Loja ,Savegnago,,Brasil,SP,Riberão Preto,"Av. Portugal, 2509",14020-380
Loja ,Savegnago,,Brasil,SP,Bebedouro,"Av. Allan Kardec, 1451 Compl. Loja B",14701-972
Loja ,Savegnago,,Brasil,SP,Araraquara,"Av. Maria Ant. Camargo De Oliveira, 1030",14801-260
Loja ,Savegnago,,Brasil,SP,Monte Alto,"Rua Nhonho Do Livramento, 2101",15910-000
Loja ,Savegnago,,Brasil,SP,Matão,"Rua Sao Lourenço, 1170",15990-005
Loja ,Savegnago,,Brasil,SP,Riberão Preto,"Rua Capitão Salomão, 2333",14085-440
Loja ,Savegnago,,Brasil,SP,Riberão Preto,"Av. Caramuru, 812",04138-002
Loja ,Savegnago,,Brasil,SP,Jaboticabal,"Rua Floriano Peixoto, 55",14870-370
Loja ,Savegnago,,Brasil,SP,Riberão Preto,"Rua Acre, 1400",14055-660
Loja ,Savegnago,,Brasil,SP,São Carlos,"Rua Joaquim Evangelista Toledo, 243",13570-640
Loja ,Savegnago,,Brasil,SP,Araraquara,"Rua Maurício Galli, 555",14806-155
Loja ,Savegnago,,Brasil,SP,Jaboticabal,"Rua 24 de Maio, 1111 Centro ",14870-790
Loja ,Savegnago,,Brasil,SP,Franca ,"Av. Nelson Nogueira, 2211 Jd. Pulicano",14406-730
Loja ,Savegnago,,Brasil,SP,São Carlos ,"Av. Francisco Pereira Lopes, 1701 Parque Santa Mônica",13561-250
Loja ,Savegnago,,Brasil,SP,Barretos ,"Via. Conselheiro Antônio Prado, 1400 Pedro Cavalini ",14784-200
Loja ,Savegnago,,Brasil,SP,São Carlos ,"Av. Comendador Alfredo Maffei, 3600 Jd. São Carlos ",13561-270
Loja ,Savegnago,,Brasil,SP,Rio Claro ,"Rua 14, 96 Consolação ",18051-629
Loja ,Savegnago,,Brasil,SP,Ribeirão preto ,"Av. Nove De Julho, 1910 Jd. América",14020-170
Loja ,Savegnago,,Brasil,SP,Piracicaba ,"Av. Professor Alberto Vollet Sachs, 650 -Nova América",13417-670
Loja ,Savegnago,,Brasil,SP,Sumaré,"Av. Rebouças, 3400 Jardim Paulista ",13171-065
Loja ,Savegnago,,Brasil,SP,Limeira ,"Av. Doutor Lauro Correada Silva, 4005 Resid. Villa do Sol",01001-001
Loja ,Savegnago,,Brasil,SP,Araras ,"Av. Dona Renata, 3605 - Vila Michelin",13601-000
Loja ,Savegnago,,Brasil,SP,Araraquara,"Av. Pe. Francisco Sales Colturato, 1600 Centro ",14802-000
Loja ,Savegnago,,Brasil,SP,Campinas ,"Av. General Carneiro, 434 Vila João Jorge",13041-306
Loja ,Savegnago,,Brasil,SP,Campinas,"Rua Mario Siqueira, 221 Botafogo",13020-210
Loja ,Savegnago,,Brasil,SP,Rio Claro ,"Rua José Felicio Castellano, 2154 Vila Cristina",13506-465
Loja ,Savegnago,,Brasil,SP,Rio Claro ,"Av. 29, 1200 - Box 2 Cidade Jardim",13.501-104
Loja ,Savegnago,,Brasil,SP,Ribeirão preto ,"Av. Luiz Eduardo Toledo Prado, 900 Vila do Golf",14027-250
Loja ,Savegnago,,Brasil,SP,Limeira ,"Av. Comendador Agostinho Prada, 1737 Vila San Marino ",13482-220
Loja ,Savegnago,,Brasil,SP,Araraquara,"Alameda Paulista, 610 Vila Xavier ",14811-060
Loja ,Savegnago,,Brasil,SP,Franca,"Av. Paulo Roberto Cavalheiro Coelho, 1911 Parque do Castelo ",14403-200
Loja ,Savegnago,,Brasil,SP,Piracicaba ,"Rua São Francisco de Assis, 1195 Centro",05133-005
Loja ,Savegnago,,Brasil,SP,Leme,"Av. Joaquim Lopes Aguila, 705 Vila Santucci ",13614-162
Loja ,Savegnago,,Brasil,SP,Campinas,"Av. Orosimbo Maia, 1309 Vila Itapura",13023-002
Loja ,Savegnago,,Brasil,SP,Campinas,"Av. das Amoreiras, 3033 Jardim do Lago",13050-035
Loja ,Savegnago,,Brasil,SP,Hortolåndia,"Rua Luiz Camilo de Camargo, 322 Vila São Francisco",13184-222
Loja ,Savegnago,,Brasil,SP,Sumaré,"Rua São Tito, 150 - Matão",13180-360
Loja ,Savegnago,,Brasil,SP,Americana ,"Rua Trinta de Julho, 477 Centro",13465-500
Loja ,Savegnago,,Brasil,SP,Sumaré,"Rua José Vedovato, 2280 Parque das Nações (Nova Veneza)",13181-250
Loja ,Savegnago,,Brasil,SP,Sertãozinho,"Av. Antonio Teodoro dos Santos, 795 Jardim Boa Sorte",14169-352
Loja ,Savegnago,,Brasil,SP,Campinas,"Av. Jorge Tibiriçá, 139 Vila Joaquim Inácio",13045-706
Loja ,Savegnago,,Brasil,SP,Ribeirão Preto ,"Av. Presidente Kennedy, 1500 Ribeirânia",14096-350
Loja ,Savegnago,,Brasil,SP,Campinas,"Rua Dom Aluísio Lorcheider, 225 Conj. Hab. P. Anchieta",13068-301
Loja ,Paulistão Atacadista,,Brasil,SP,Araraquara,"Alameda Paulista, 1960",14810-282
Loja ,Paulistão Atacadista,,Brasil,SP,Barretos,"Av. Centenário da Abolição, 555",14783-195
Loja ,Paulistão Atacadista,,Brasil,SP,Franca,"R Reynaldo Chioca, 600",14403-085
Loja ,Paulistão Atacadista,,Brasil,SP,Ribeirao,"Av. Presidente Castelo Branco, 7207",
